"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",-0.631273087482834,1.70367766810414,1.42552230372137,-0.529285371133313,1.25673301441533,NA,NA,0.51021993795025,0.05
"2","tslm_base",20,"Test",1.46401400796997,2.18794425506373,1.57645136456951,1.36979130565488,1.46670114420066,NA,NA,0.767910035071802,0.05
"3","tslm_vars",20,"Test",-2.1789069716614,2.68257903611947,2.24920727472739,-1.8912416948462,1.95890772713132,NA,NA,0.66339527772432,0.05
"4","arima_full",20,"Test",-2.68215100328402,3.02649676724941,2.81732921814876,-2.40838962328384,2.52131671212657,NA,NA,0.113053370413053,0.05
"5","arima_plain",20,"Test",2.52817411858137,3.24270248227205,2.52817411858137,2.34649080594423,2.34649080594423,NA,NA,0.841472694428816,0.05
"6","snaive",20,"Test",-2.47596153846154,3.91334256778412,3.45535714285711,-2.12927838019746,3.05732040131167,NA,NA,0.824205636542446,0.05
"7","tslm_inter",20,"Test",-3.91279590349099,4.71493481972246,4.42157236423019,-3.42603565644196,3.90343618561975,NA,NA,0.413854868965318,0.05
"8","nn_base",20,"Test",-4.02400805577384,6.87384992814858,5.08013805338615,-3.93838081367317,4.78568725659321,NA,NA,0.230530198532642,0.05
"9","drift",20,"Test",-3.9341086504954,8.82049784803875,7.78884431117655,-4.04130455164152,7.19314045889764,NA,NA,0.406974039316722,0.05
"10","naive",20,"Test",-4.08399725274683,8.92360852507132,7.8787774725274,-4.17875223413669,7.28116536164815,NA,NA,0.410676723226719,0.05
"11","nn_vars",20,"Test",-6.97234020320814,10.4659918860144,8.24850071967167,-6.71178492336316,7.74194758672309,NA,NA,0.274444673177295,0.05
