Lab Collection Date,Parish,Daily Test Count,Daily Negative Test Count,Daily Positive Test Count,Daily Case Count,datetime
3/1/2020,Acadia,0,0,0,0,3/1/2020 12:00
3/2/2020,Acadia,0,0,0,0,3/2/2020 12:00
3/3/2020,Acadia,0,0,0,0,3/3/2020 12:00
3/4/2020,Acadia,0,0,0,0,3/4/2020 12:00
3/5/2020,Acadia,0,0,0,0,3/5/2020 12:00
3/6/2020,Acadia,0,0,0,0,3/6/2020 12:00
3/7/2020,Acadia,0,0,0,0,3/7/2020 12:00
3/8/2020,Acadia,0,0,0,0,3/8/2020 12:00
3/9/2020,Acadia,0,0,0,0,3/9/2020 12:00
3/10/2020,Acadia,0,0,0,0,3/10/2020 12:00
3/11/2020,Acadia,0,0,0,0,3/11/2020 12:00
3/12/2020,Acadia,0,0,0,0,3/12/2020 12:00
3/13/2020,Acadia,7,7,0,0,3/13/2020 12:00
3/14/2020,Acadia,6,6,0,0,3/14/2020 12:00
3/15/2020,Acadia,10,10,0,0,3/15/2020 12:00
3/16/2020,Acadia,44,41,3,1,3/16/2020 12:00
3/17/2020,Acadia,37,34,3,1,3/17/2020 12:00
3/18/2020,Acadia,36,36,0,0,3/18/2020 12:00
3/19/2020,Acadia,47,39,8,4,3/19/2020 12:00
3/20/2020,Acadia,39,36,3,2,3/20/2020 12:00
3/21/2020,Acadia,28,27,1,1,3/21/2020 12:00
3/22/2020,Acadia,28,20,8,3,3/22/2020 12:00
3/23/2020,Acadia,50,30,20,9,3/23/2020 12:00
3/24/2020,Acadia,52,47,5,4,3/24/2020 12:00
3/25/2020,Acadia,40,34,6,2,3/25/2020 12:00
3/26/2020,Acadia,73,51,22,8,3/26/2020 12:00
3/27/2020,Acadia,64,47,17,5,3/27/2020 12:00
3/28/2020,Acadia,40,32,8,3,3/28/2020 12:00
3/29/2020,Acadia,29,26,2,2,3/29/2020 12:00
3/30/2020,Acadia,83,54,29,10,3/30/2020 12:00
3/31/2020,Acadia,73,55,17,3,3/31/2020 12:00
4/1/2020,Acadia,96,76,20,7,4/1/2020 12:00
4/2/2020,Acadia,134,97,37,13,4/2/2020 12:00
